Processo;Status;Duracao_Total_s;Etapa_Falha;Mensagem_Erro
6041339-96.2025.8.03.0001;Falha;0.0;;
0090800-25.2025.8.04.1000;Falha;0.0;;
0075598-08.2025.8.04.1000;Falha;0.0;;
0000002-94.2020.8.04.7401;Falha;0.0;;
0000984-73.2025.8.04.2700;Falha;0.0;;
0050023-32.2024.8.04.1000;Falha;0.0;;
0606797-33.2024.8.04.6300;Falha;0.0;;
0635737-34.2017.8.04.0001;Falha;0.0;;
0000508-09.2025.8.04.7300;Falha;0.0;;
0622764-37.2023.8.04.0001;Falha;0.0;;
0527541-57.2023.8.04.0001;Falha;0.0;;
0562316-98.2023.8.04.0001;Falha;0.0;;
0601450-95.2023.8.04.2600;Falha;0.0;;
0624732-05.2023.8.04.0001;Falha;0.0;;
0632776-13.2023.8.04.0001;Falha;0.0;;
0551414-86.2023.8.04.0001;Falha;0.0;;
0079877-71.2024.8.04.1000;Falha;0.0;;
0053132-20.2025.8.04.1000;Falha;0.0;;
0163832-63.2025.8.04.1000;Falha;0.0;;
0604970-66.2024.8.04.0001;Falha;0.0;;
0000369-89.2014.8.05.0227;Falha;0.0;;
1002443-54.2020.4.01.4101;Falha;0.0;;
0816975-96.2025.8.14.0301;Falha;0.0;;
0804648-22.2025.8.14.0301;Falha;0.0;;
0825377-69.2025.8.14.0301;Falha;0.0;;
0818181-48.2025.8.14.0301;Falha;0.0;;
0803550-38.2023.8.14.0053;Falha;0.0;;
0851934-30.2024.8.14.0301;Falha;0.0;;
0859721-13.2024.8.14.0301;Falha;0.0;;
0002514-93.2014.8.14.0025;Falha;0.0;;
0015896-97.1997.8.14.0301;Falha;0.0;;
0800660-63.2025.8.14.0019;Falha;0.0;;
0076277-50.2015.8.14.0007;Falha;0.0;;
0801237-20.2020.8.14.0115;Falha;0.0;;
0872798-02.2018.8.14.0301;Falha;0.0;;
0800486-84.2025.8.14.0009;Falha;0.0;;
0823348-46.2025.8.14.0301;Falha;0.0;;
0800202-16.2025.8.14.0029;Falha;0.0;;
0802390-07.2024.8.14.0032;Falha;0.0;;
0851879-50.2022.8.14.0301;Falha;0.0;;
0801940-74.2023.8.14.0040;Falha;0.0;;
0800339-14.2024.8.14.0035;Falha;0.0;;
0800566-86.2025.8.14.0061;Falha;0.0;;
0802036-71.2023.8.14.0046;Falha;0.0;;
0893897-52.2023.8.14.0301;Falha;0.0;;
0804541-04.2024.8.14.0045;Falha;0.0;;
0801351-36.2025.8.14.0065;Falha;0.0;;
0801004-90.2025.8.14.0133;Falha;0.0;;
0865355-53.2025.8.14.0301;Falha;0.0;;
0802477-66.2025.8.14.0051;Falha;0.0;;
0800460-39.2025.8.14.0057;Falha;0.0;;
0812699-93.2025.8.14.0051;Falha;0.0;;
0815317-49.2025.8.14.0006;Falha;0.0;;
0800194-47.2025.8.14.0091;Falha;0.0;;
0805113-23.2025.8.14.0045;Falha;0.0;;
0824096-85.2024.8.20.5106;Falha;0.0;;
0809598-86.2021.8.20.5106;Falha;0.0;;
0804136-35.2022.8.20.5100;Falha;0.0;;
0843504-28.2020.8.20.5001;Falha;0.0;;
0801424-55.2023.8.20.5159;Falha;0.0;;
0803818-75.2024.8.20.5102;Falha;0.0;;
0806727-78.2019.8.20.5001;Falha;0.0;;
0812323-33.2025.8.20.5001;Falha;0.0;;
0815290-53.2024.8.20.0000;Falha;0.0;;
0835180-73.2025.8.20.5001;Falha;0.0;;
0835190-20.2025.8.20.5001;Falha;0.0;;
0839335-56.2024.8.20.5001;Falha;0.0;;
0800623-74.2025.8.20.5158;Falha;0.0;;
0800933-84.2022.8.20.5126;Falha;0.0;;
0802185-23.2024.8.20.5104;Falha;0.0;;
0800777-76.2025.8.20.5131;Falha;0.0;;
0800776-91.2025.8.20.5131;Falha;0.0;;
0800876-12.2020.8.20.5102;Falha;0.0;;
0801037-22.2020.8.20.5102;Falha;0.0;;
0800178-91.2025.8.20.5114;Falha;0.0;;
0801893-49.2021.8.20.5102;Falha;0.0;;
0802574-80.2025.8.20.5101;Falha;0.0;;
0831857-60.2025.8.20.5001;Falha;0.0;;
0810372-92.2025.8.20.5004;Falha;0.0;;
0801460-20.2025.8.20.5162;Falha;0.0;;
0800826-83.2025.8.20.5110;Falha;0.0;;
0802478-44.2025.8.20.5108;Falha;0.0;;
0811294-45.2025.8.20.5001;Falha;0.0;;
0102065-70.2017.8.20.0123;Falha;0.0;;
0801095-20.2025.8.20.5144;Falha;0.0;;
0856118-89.2025.8.20.5001;Falha;0.0;;
7018172-05.2025.8.22.0001;Falha;0.0;;
7002430-25.2025.8.22.0005;Falha;0.0;;
0801364-14.2025.8.22.0000;Falha;0.0;;
0804946-22.2025.8.22.0000;Falha;0.0;;
0805471-04.2025.8.22.0000;Falha;0.0;;
7000111-96.2025.8.22.0001;Falha;0.0;;
7001890-26.2025.8.22.0021;Falha;0.0;;
7010532-41.2022.8.22.0005;Falha;0.0;;
7022945-69.2020.8.22.0001;Falha;0.0;;
7075687-03.2022.8.22.0001;Falha;0.0;;
7080821-11.2022.8.22.0001;Falha;0.0;;
7003418-62.2024.8.22.0011;Falha;0.0;;
7016095-57.2024.8.22.0001;Falha;0.0;;
7000535-45.2024.8.22.0011;Falha;0.0;;
7035178-93.2023.8.22.0001;Falha;0.0;;
7001293-92.2022.8.22.0011;Falha;0.0;;
7001604-72.2025.8.22.0013;Falha;0.0;;
7000422-81.2025.8.22.0003;Falha;0.0;;
7002986-94.2025.8.22.0015;Falha;0.0;;
7010055-07.2025.8.22.0007;Falha;0.0;;
0821083-22.2025.8.23.0010;Falha;0.0;;
0810242-02.2024.8.23.0010;Falha;0.0;;
9000729-17.2024.8.23.0000;Falha;0.0;;
0827704-35.2025.8.23.0010;Falha;0.0;;
1009982-42.2021.4.01.3000;Falha;0.0;;
7060587-37.2024.8.22.0001;Falha;0.0;;
0000292-78.2025.5.14.0006;Falha;0.0;;
0145902-32.2025.8.04.1000;Falha;0.0;;
0803470-27.2024.8.20.5112;Falha;0.0;;
6005822-30.2025.8.03.0001;Falha;0.0;;
7001125-56.2023.8.22.0011;Falha;0.0;;
0879696-55.2023.8.14.0301;Falha;0.0;;
0805169-31.2024.8.14.0000;Falha;0.0;;
6000740-79.2025.8.03.0013;Falha;0.0;;
0801096-03.2024.8.14.0069;Falha;0.0;;
0800272-62.2018.8.20.5121;Falha;0.0;;
0000512-59.2025.8.04.5000;Falha;0.0;;
0477348-04.2024.8.04.0001;Falha;0.0;;
0102064-85.2017.8.20.0123;Falha;0.0;;
0800740-86.2024.8.20.5130;Falha;0.0;;
0801538-80.2025.8.14.0053;Falha;0.0;;
0807251-21.2024.8.20.5124;Falha;0.0;;
7008941-46.2024.8.22.0014;Falha;0.0;;
7008062-44.2025.8.22.0001;Falha;0.0;;
7004062-80.2025.8.22.0007;Falha;0.0;;
6000668-34.2025.8.03.0000;Falha;0.0;;
7003669-79.2025.8.22.0000;Falha;0.0;;
7004905-36.2025.8.22.0010;Falha;0.0;;
